2016-05-06_03:02:43 1462496563 0x8 0; BOOT
2016-05-06_03:04:45 1462496685 0x8 0;1,2,3,3,2,1,a,1,2,2,2,2,1,2,1,2,0,2,2,2,1,0,2,3,1-1244,4d6-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-05-06_03:26:45 1462498005 0x8 11;1,1,0,0,3,0,1,1,2,1,2,1,1,2,2,1,0,0,1,2,2,1,1,2,2-13a2,430-0:0/0;0:0/0;0:e2/6b;0:e5/6c;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_03:28:45 1462498125 0x8 12;2,1,1,2,1,0,1,0,1,2,2,1,2,2,0,1,3,1,2,0,2,2,1,0,1-13aa,42d-0:0/0;0:0/0;0:e3/68;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_03:30:45 1462498245 0x8 13;2,1,1,2,1,2,2,2,2,2,0,1,1,1,0,7,6,1,1,1,1,1,0,1,2-13b2,42a-0:0/0;0:0/0;0:e3/6b;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_03:32:45 1462498365 0x8 14;2,2,0,1,1,1,1,2,1,0,2,1,2,1,1,1,2,1,2,2,1,1,1,1,2-13ba,428-0:0/0;0:0/0;0:e2/69;0:e5/6a;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_03:34:45 1462498485 0x8 15;2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,1,0,2,1,1,3,2,1,2-13c2,426-0:0/0;0:0/0;0:e3/6b;0:e5/68;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_03:36:45 1462498605 0x8 16;1,1,1,2,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,0,1,2,1,1,2-13ca,425-0:0/0;0:0/0;0:e3/69;0:e5/69;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_03:38:45 1462498725 0x8 17;1,2,2,1,0,2,2,0,1,2,1,1,2,1,0,2,2,1,2,1,3,1,2,2,2-13d0,424-0:0/0;0:0/0;0:e3/6b;0:e5/6c;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_03:40:45 1462498845 0x8 18;2,1,2,1,2,0,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1-13d4,422-0:0/0;0:0/0;0:e3/69;0:e5/6a;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_03:42:45 1462498965 0x8 19;2,2,2,2,1,2,1,2,1,2,0,3,2,1,1,1,1,5,1,1,1,1,2,4,1-13da,420-0:0/0;0:0/0;0:e2/66;0:e5/6b;0:0/0;0:0/0;0:8/67;0:0/0;0:0/0;0:0/0
2016-05-06_03:44:45 1462499085 0x8 20;1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,4,0,2,1,4,2,1-13de,41f-0:0/0;0:0/0;0:e2/6b;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_03:46:45 1462499205 0x8 21;2,2,1,2,2,0,0,0,1,1,0,0,2,1,1,2,1,4,1,1,1,0,1,0,2-13de,41e-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/6c;0:0/0;0:0/0;0:0/0
2016-05-06_03:48:45 1462499325 0x8 22;2,0,1,0,4,1,1,2,2,1,4,0,1,4,2,1,0,1,1,0,2,2,2,1,1-13e0,41d-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/69;0:0/0;0:0/0;0:0/0
2016-05-06_03:50:45 1462499445 0x8 23;2,1,1,1,1,2,5,1,2,0,1,2,1,1,2,0,1,1,1,1,2,3,2,2,1-13e0,41c-0:0/0;0:0/0;0:e2/6b;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_03:52:45 1462499565 0x8 24;2,1,2,1,1,0,2,2,1,3,3,2,0,5,2,2,1,1,1,2,1,2,0,0,4-13de,41b-0:0/0;0:0/0;0:e3/6a;0:e5/69;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_03:54:45 1462499685 0x8 25;1,1,1,4,0,1,2,2,2,2,0,1,2,3,2,4,2,2,1,2,2,1,0,1,1-13dd,41a-0:0/0;0:0/0;0:e3/6a;0:e5/6b;0:0/0;0:0/0;0:8/6c;0:0/0;0:0/0;0:0/0
2016-05-06_03:56:45 1462499805 0x8 26;1,1,2,1,1,4,1,2,1,1,1,0,1,1,1,1,1,2,2,2,2,2,1,1,1-13dc,419-0:0/0;0:0/0;0:e2/6b;0:e5/69;0:0/0;0:0/0;0:8/6c;0:0/0;0:0/0;0:0/0
2016-05-06_03:58:45 1462499925 0x8 27;2,1,2,1,2,1,2,2,1,0,1,1,2,3,1,2,0,3,2,1,2,2,0,5,1-13da,418-0:0/0;0:0/0;0:e3/6b;0:e5/69;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:00:45 1462500045 0x8 28;2,5,1,0,2,1,1,1,2,0,2,1,2,2,1,1,1,5,2,1,2,1,2,2,2-13d8,41a-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:02:45 1462500165 0x8 29;2,2,1,2,1,1,0,1,2,1,1,1,1,2,0,1,2,1,2,0,1,2,2,2,1-13d8,419-0:0/0;0:0/0;0:e2/6a;0:e5/6a;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:04:45 1462500285 0x8 30;1,1,2,1,2,1,1,1,2,0,2,1,1,1,1,2,2,2,2,3,2,2,2,1,1-13d6,419-0:0/0;0:0/0;0:e3/68;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:06:45 1462500405 0x8 31;5,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,0,1,1,1,1,2,2,2-13d6,418-0:0/0;0:0/0;0:e2/6b;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_04:08:45 1462500525 0x8 32;2,1,2,2,5,3,1,2,1,5,2,2,1,1,1,2,1,1,2,3,3,1,1,1,0-13d5,417-0:0/0;0:0/0;0:e3/6a;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:10:45 1462500645 0x8 33;2,1,2,1,1,2,2,2,1,1,3,1,1,1,3,1,2,1,2,2,3,1,1,1,2-13d4,416-0:0/0;0:0/0;0:e3/6b;0:e5/6c;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_04:12:45 1462500765 0x8 34;1,0,1,2,2,2,0,1,2,2,0,1,1,1,0,3,1,1,1,2,1,1,1,1,2-13d3,417-0:0/0;0:0/0;0:e2/6b;0:e4/6b;0:0/0;0:0/0;0:8/6c;0:0/0;0:0/0;0:0/0
2016-05-06_04:14:45 1462500885 0x8 35;2,3,2,1,2,3,3,1,1,1,1,1,1,2,2,2,1,2,1,1,1,0,0,2,1-13d2,417-0:0/0;0:0/0;0:e3/68;0:e5/69;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:16:45 1462501005 0x8 36;1,3,0,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,0,2,3,1,2,1-13cf,416-0:0/0;0:0/0;0:e2/68;0:e5/6c;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:18:45 1462501125 0x8 37;2,1,1,0,1,0,2,2,2,2,1,2,1,0,1,2,2,0,1,1,1,1,2,2,0-13cd,416-0:0/0;0:0/0;0:e3/69;0:e5/6a;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:20:45 1462501245 0x8 38;4,1,2,1,1,1,2,2,1,2,1,2,2,2,0,3,0,2,0,2,1,2,1,2,2-13ca,417-0:0/0;0:0/0;0:e3/69;0:e5/6c;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:22:45 1462501365 0x8 39;1,3,2,1,1,2,1,1,1,2,2,2,2,0,1,1,1,2,0,2,2,2,0,2,1-13c7,416-0:0/0;0:0/0;0:e2/6b;0:e5/6b;0:0/0;0:0/0;0:8/6c;0:0/0;0:0/0;0:0/0
2016-05-06_04:24:45 1462501485 0x8 40;1,2,1,2,1,0,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,3,2,2-13c6,416-0:0/0;0:0/0;0:e3/67;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_04:26:45 1462501605 0x8 41;2,2,2,0,1,1,1,1,2,2,1,1,2,2,1,1,3,2,1,0,2,2,1,2,1-13c4,416-0:0/0;0:0/0;0:e3/6a;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:28:45 1462501725 0x8 42;1,0,2,1,2,1,1,2,1,0,1,3,0,2,2,2,2,1,2,2,2,2,2,1,1-13c1,416-0:0/0;0:0/0;0:e3/68;0:e5/6c;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:30:45 1462501845 0x8 43;0,0,2,1,1,2,0,2,2,2,2,2,1,0,1,1,1,2,1,2,2,2,2,0,2-13be,416-0:0/0;0:0/0;0:e3/6b;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:32:45 1462501965 0x8 44;2,1,1,2,1,2,2,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1-13bf,416-0:0/0;0:0/0;0:e3/69;0:e5/6a;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:34:45 1462502085 0x8 45;1,2,1,2,3,2,1,1,2,1,0,2,1,1,4,1,2,1,2,1,2,2,0,2,2-13bc,416-0:0/0;0:0/0;0:e2/68;0:e5/6c;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:36:45 1462502205 0x8 46;2,2,1,2,2,0,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,2-13bb,416-0:0/0;0:0/0;0:e3/6a;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_04:38:45 1462502325 0x8 47;1,2,1,1,0,0,1,1,0,0,0,2,2,1,1,1,2,1,2,2,1,1,2,2,0-13bc,416-0:0/0;0:0/0;0:e3/6b;0:e5/6a;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_04:40:45 1462502445 0x8 48;2,1,1,0,0,1,2,0,2,1,1,2,2,1,0,0,2,2,2,0,1,2,2,1,2-13bc,415-0:0/0;0:0/0;0:e3/6b;0:e5/69;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:42:45 1462502565 0x8 49;1,2,1,2,2,1,2,2,2,2,0,2,0,1,2,1,1,1,2,2,2,1,0,2,2-13ba,414-0:0/0;0:0/0;0:e3/69;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_04:44:45 1462502685 0x8 50;1,1,2,2,2,2,0,2,2,2,2,1,1,2,1,0,2,2,2,1,1,1,1,7,2-13b9,414-0:0/0;0:0/0;0:e3/6a;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:46:45 1462502805 0x8 51;2,1,1,1,0,2,0,0,2,2,2,2,2,1,2,1,2,1,1,2,2,1,1,3,1-13b7,415-0:0/0;0:0/0;0:e2/68;0:e5/6c;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:48:45 1462502925 0x8 52;1,2,0,1,2,2,0,2,1,1,1,2,2,2,2,0,1,5,0,0,1,1,2,2,1-13b6,416-0:0/0;0:0/0;0:e3/6a;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:50:45 1462503045 0x8 53;1,1,0,1,1,1,2,1,2,1,2,2,2,1,2,2,3,1,1,1,1,1,2,2,1-13b6,415-0:0/0;0:0/0;0:e2/6b;0:e5/6a;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_04:52:45 1462503165 0x8 54;1,7,1,1,1,2,1,2,2,2,2,1,2,1,1,2,1,0,0,1,2,2,1,0,2-13b4,415-0:0/0;0:0/0;0:e3/6a;0:e5/6a;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_04:54:45 1462503285 0x8 55;2,2,1,0,2,0,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,0,2,0-13b4,414-0:0/0;0:0/0;0:e2/6a;0:e5/6a;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:56:45 1462503405 0x8 56;2,2,2,3,5,2,2,1,2,0,2,1,2,2,1,2,0,1,2,2,2,2,1,1,1-13b3,414-0:0/0;0:0/0;0:e3/6b;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_04:58:45 1462503525 0x8 57;1,4,2,1,0,2,2,1,1,2,2,1,2,5,1,1,1,2,2,2,1,2,2,2,2-13b2,415-0:0/0;0:0/0;0:e2/68;0:e5/6a;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:00:45 1462503645 0x8 58;0,1,1,0,2,1,4,2,1,2,1,3,0,0,1,1,1,1,1,1,4,2,2,3,2-13b0,414-0:0/0;0:0/0;0:e2/6a;0:e5/6a;0:0/0;0:0/0;0:8/6c;0:0/0;0:0/0;0:0/0
2016-05-06_05:02:45 1462503765 0x8 59;2,2,2,1,1,1,1,1,2,2,7,1,2,2,2,7,1,1,2,2,1,2,2,0,1-13b0,414-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:04:45 1462503885 0x8 60;2,1,2,1,2,2,2,0,1,0,2,2,1,1,2,2,0,2,2,0,1,1,1,1,1-13af,414-0:0/0;0:0/0;0:e2/6a;0:e5/6c;0:0/0;0:0/0;0:8/69;0:0/0;0:0/0;0:0/0
2016-05-06_05:06:45 1462504005 0x8 61;2,3,2,1,3,2,1,1,2,1,1,2,2,2,1,2,0,2,2,2,2,2,1,1,1-13b0,414-0:0/0;0:0/0;0:e2/67;0:e5/6c;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:08:45 1462504125 0x8 62;2,2,2,2,3,2,0,3,1,2,2,1,4,3,2,2,3,2,1,2,0,1,3,2,2-13b0,414-0:0/0;0:0/0;0:e2/68;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:10:45 1462504245 0x8 63;3,2,3,3,2,2,2,5,3,3,2,2,0,2,2,2,7,2,3,2,2,2,2,2,2-13b2,414-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_05:12:45 1462504365 0x8 64;3,2,2,2,3,3,0,0,3,2,3,3,5,2,3,3,5,2,3,3,2,2,2,2,2-13b0,414-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:14:45 1462504485 0x8 65;3,2,1,3,3,2,3,2,3,4,3,3,3,3,3,3,3,3,2,6,3,4,0,3,2-13ae,414-0:0/0;0:0/0;0:e2/68;0:e5/6a;0:0/0;0:0/0;0:8/6c;0:0/0;0:0/0;0:0/0
2016-05-06_05:16:45 1462504605 0x8 66;3,3,3,2,3,3,0,3,3,2,4,2,3,3,4,4,3,3,7,4,3,4,3,4,0-13ad,414-0:0/0;0:0/0;0:e3/6a;0:e5/6c;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_05:18:45 1462504725 0x8 67;4,3,3,3,4,2,3,3,9,4,3,3,4,3,1,3,3,3,3,4,1,3,4,4,3-13ac,414-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/69;0:0/0;0:0/0;0:0/0
2016-05-06_05:20:45 1462504845 0x8 68;4,6,4,4,4,5,5,8,1,5,5,4,5,5,3,4,4,5,1,3,3,0,5,9,6-13ac,414-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:22:45 1462504965 0x8 69;5,8,2,5,5,4,6,8,4,3,5,5,4,6,5,5,3,8,5,5,3,6,5,5,7-13ac,414-0:0/0;0:0/0;0:e2/6a;0:e5/6a;0:0/0;0:0/0;0:a/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:24:45 1462505085 0x8 70;7,6,6,7,6,6,3,7,6,6,7,6,6,5,6,5,7,8,5,4,6,7,6,6,4-13ad,413-0:0/0;0:0/0;0:e2/6a;0:e5/69;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:26:45 1462505205 0x8 71;6,9,7,7,7,7,7,8,7,7,8,7,7,7,7,7,8,7,8,7,7,8,7,7,9-13aa,413-0:0/0;0:0/0;0:e2/68;0:e5/6c;0:0/0;0:0/0;0:8/69;0:0/0;0:0/0;0:0/0
2016-05-06_05:28:45 1462505325 0x8 72;9,9,9,8,9,9,8,7,9,a,8,8,9,b,d,9,4,8,9,8,5,8,7,8,8-13ab,412-0:0/0;0:0/0;0:e2/67;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:30:45 1462505445 0x8 73;d,a,6,a,d,7,a,d,b,a,5,b,b,b,a,b,a,a,a,7,a,a,a,b,a-13aa,413-0:0/0;0:0/0;0:e2/68;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_05:32:45 1462505565 0x8 74;d,c,c,c,c,d,b,c,a,7,b,c,c,d,c,d,c,d,b,c,d,c,8,c,c-13ac,413-0:0/0;0:0/0;0:e2/6a;0:e5/69;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:34:45 1462505685 0x8 75;11,e,e,f,f,f,b,13,e,e,e,f,c,11,e,e,c,e,9,d,e,e,e,a,14-13ac,413-0:0/0;0:0/0;0:e3/6b;0:e5/68;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:36:45 1462505805 0x8 76;17,f,10,c,11,10,d,10,11,11,11,10,10,e,10,11,f,f,11,11,11,10,10,11,11-13ac,414-0:0/0;0:0/0;0:e2/69;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_05:38:45 1462505925 0x8 77;13,19,12,12,12,13,13,18,11,12,16,13,12,13,13,13,11,13,f,13,13,13,13,13,13-13ae,413-0:0/0;0:0/0;0:e2/6b;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:40:45 1462506045 0x8 78;f,16,16,10,16,15,16,15,16,16,16,15,13,16,16,1b,16,15,16,15,14,16,16,19,16-13af,412-0:0/0;0:0/0;0:e2/6a;0:e5/6a;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_05:42:45 1462506165 0x8 79;1e,17,19,19,18,18,19,18,19,1d,18,18,19,18,19,15,19,19,19,18,19,14,19,19,19-13b1,412-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/68;0:0/0;0:0/0;0:0/0
2016-05-06_05:44:45 1462506285 0x8 80;1b,1c,1b,1b,1c,1c,1c,21,1e,1d,1c,1c,1c,20,1d,1d,1d,1c,1d,1a,1c,1c,1d,1c,1c-13b2,412-0:0/0;0:0/0;0:e1/6a;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:46:45 1462506405 0x8 81;20,20,20,21,25,1f,1a,20,1f,1f,21,20,25,1f,20,22,20,20,20,20,21,20,20,20,21-13b4,412-0:0/0;0:0/0;0:e2/69;0:e5/6c;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_05:48:45 1462506525 0x8 82;24,23,24,24,24,23,24,23,24,23,24,25,24,24,24,24,24,24,24,22,24,2a,24,24,25-13b6,412-0:0/0;0:0/0;0:e3/6a;0:e5/6c;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_05:50:45 1462506645 0x8 83;27,28,28,28,28,28,28,28,29,29,28,28,29,27,28,28,29,28,28,29,28,29,28,29,28-13bc,412-0:0/0;0:0/0;0:e3/69;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:52:45 1462506765 0x8 84;2c,2d,2c,2d,2d,2c,2e,2d,2d,2c,2c,2c,2c,2c,2d,2d,30,2d,2d,2d,2c,2c,2d,2c,2d-13c0,412-0:0/0;0:0/0;0:e2/69;0:e5/6a;0:0/0;0:0/0;0:8/69;0:0/0;0:0/0;0:0/0
2016-05-06_05:54:45 1462506885 0x8 85;31,31,32,31,32,30,31,30,31,31,32,32,32,32,31,31,30,32,32,30,31,31,30,34,31-13c6,410-0:0/0;0:0/0;0:e2/6b;0:e5/6a;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_05:56:45 1462507005 0x8 86;36,37,33,35,36,37,36,36,36,36,36,37,36,37,36,36,37,37,36,37,33,36,36,36,37-13cc,410-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/68;0:0/0;0:0/0;0:0/0
2016-05-06_05:58:45 1462507125 0x8 87;3d,3b,3a,3a,3b,3b,3b,3b,3c,3b,3c,3c,3b,3b,3b,3c,3b,3b,3b,3b,3b,3b,3a,3b,3b-13ce,410-0:0/0;0:0/0;0:e2/69;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_06:00:45 1462507245 0x8 88;41,40,41,43,3f,40,40,41,41,40,41,41,40,40,40,3f,3d,40,3f,40,41,40,42,3f,41-13d4,410-0:0/0;0:0/0;0:e2/6a;0:e5/6a;0:0/0;0:0/0;0:8/69;0:0/0;0:0/0;0:0/0
2016-05-06_06:02:45 1462507365 0x8 89;46,45,46,48,45,44,45,45,45,45,45,48,47,45,46,44,45,47,45,45,46,46,46,45,45-13dc,410-0:0/0;0:0/0;0:e3/6b;0:e5/69;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_06:04:45 1462507485 0x8 90;4b,4a,4b,4d,4b,4b,4a,4b,4a,4b,4b,4b,4b,49,4b,4b,48,4b,4a,49,4b,4a,49,4b,4b-13e4,410-0:0/0;0:0/0;0:e2/6a;0:e5/6b;0:0/0;0:0/0;0:8/6a;0:0/0;0:0/0;0:0/0
2016-05-06_06:06:45 1462507605 0x8 91;50,50,50,50,4f,50,4f,53,51,4e,51,52,51,50,51,50,51,51,50,52,50,51,50,51,50-13ef,40e-0:0/0;0:0/0;0:e2/6b;0:e5/6a;0:0/0;0:0/0;0:8/6c;0:0/0;0:0/0;0:0/0
2016-05-06_06:08:45 1462507725 0x8 92;56,56,55,56,55,56,54,54,58,57,56,52,53,57,55,56,56,56,56,55,56,54,56,56,55-13f7,40e-0:0/0;0:0/0;0:e2/66;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
2016-05-06_06:10:45 1462507845 0x8 93;5a,5b,5b,5a,5e,5a,5b,5b,5c,5c,5b,5b,5a,5b,5c,5b,5f,5b,5c,5f,5b,5c,5b,5b,5b-1400,40d-0:0/0;0:0/0;0:e2/6b;0:e5/6b;0:0/0;0:0/0;0:8/6b;0:0/0;0:0/0;0:0/0
